"pt_standard_en","analysis_group","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal","ror_95ci_range"
"Angioedema","Iohexol","Angioedema","血管性水肿","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","70","70","6373","41768","19858268","6443","41838","19906479","5.22","4.13","6.61","5.18","235.97","2.37","2.13","13.5414","5.02","2.88","1","1","1","1","1","1","5.22 (4.13, 6.61)"
"Obstructive airways disorder","Iohexol","Obstructive airways disorder","阻塞性气道疾病","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","17","17","6426","10143","19889893","6443","10160","19906479","5.19","3.22","8.35","5.18","57.22","2.37","1.88","3.2884","4.62","2.4","1","1","1","1","1","1","5.19 (3.22, 8.35)"
"Respiratory arrest","Iohexol","Respiratory arrest","呼吸停止","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","44","44","6399","26936","19873100","6443","26980","19906479","5.07","3.77","6.83","5.05","142.67","2.33","2.03","8.7324","4.82","2.71","1","1","1","1","1","1","5.07 (3.77, 6.83)"
"Rash pustular","Iohexol","Rash pustular","脓疱疹","Infections and infestations","感染及侵染类疾病","11","11","6432","7065","19892971","6443","7076","19906479","4.82","2.66","8.7","4.81","33.15","2.26","1.66","2.2902","4.12","2.01","1","1","1","1","1","1","4.82 (2.66, 8.70)"
"Urinary incontinence","Iohexol","Urinary incontinence","尿失禁","Renal and urinary disorders","肾脏及泌尿系统疾病","44","44","6399","28343","19871693","6443","28387","19906479","4.82","3.58","6.49","4.79","132.13","2.26","1.96","9.1878","4.59","2.58","1","1","1","1","1","1","4.82 (3.58, 6.49)"
"Rash maculo-papular","Iohexol","Rash maculo-papular","斑丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","32","32","6411","20909","19879127","6443","20941","19906479","4.75","3.35","6.72","4.73","93.99","2.24","1.88","6.7778","4.47","2.46","1","1","1","1","1","1","4.75 (3.35, 6.72)"
"POST PROCEDURAL COMPLICATION","Iohexol","POST PROCEDURAL COMPLICATION","操作后并发症","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","28","28","6415","18595","19881441","6443","18623","19906479","4.67","3.22","6.77","4.65","80.2","2.22","1.84","6.0276","4.37","2.38","1","1","1","1","1","1","4.67 (3.22, 6.77)"
"Rash erythematous","Iohexol","Rash erythematous","红色皮疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","64","64","6379","43011","19857025","6443","43075","19906479","4.63","3.62","5.93","4.6","180.18","2.2","1.95","13.9418","4.47","2.55","1","1","1","1","1","1","4.63 (3.62, 5.93)"
"Dyspnoea","Iohexol","Dyspnoea","呼吸困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","723","723","5720","536031","19364005","6443","536754","19906479","4.57","4.23","4.93","4.17","1785.33","2.06","1.98","173.7277","4.15","2.46","1","1","1","1","1","1","4.57 (4.23, 4.93)"
"Dysphagia","Iohexol","Dysphagia","吞咽困难","Gastrointestinal disorders","胃肠系统疾病","127","127","6316","89497","19810539","6443","89624","19906479","4.45","3.73","5.31","4.38","332.63","2.13","1.95","29.008","4.32","2.52","1","1","1","1","1","1","4.45 (3.73, 5.31)"
"PETECHIAE","Iohexol","PETECHIAE","瘀点","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","14","14","6429","9802","19890234","6443","9816","19906479","4.42","2.61","7.47","4.41","36.9","2.14","1.6","3.1771","3.94","2","1","1","1","1","1","1","4.42 (2.61, 7.47)"
"CIRCULATORY COLLAPSE","Iohexol","CIRCULATORY COLLAPSE","循环性虚脱","Vascular disorders","血管与淋巴管类疾病","23","23","6420","16385","19883651","6443","16408","19906479","4.35","2.89","6.55","4.34","58.99","2.11","1.7","5.3107","4.04","2.17","1","1","1","1","1","1","4.35 (2.89, 6.55)"
"Ventricular tachycardia","Iohexol","Ventricular tachycardia","室性心动过速","Cardiac disorders","心脏器官疾病","22","22","6421","15833","19884203","6443","15855","19906479","4.3","2.83","6.54","4.29","55.51","2.1","1.67","5.1317","4","2.13","1","1","1","1","1","1","4.30 (2.83, 6.54)"
"OCULAR HYPERAEMIA","Iohexol","OCULAR HYPERAEMIA","眼充血","Eye disorders","眼器官疾病","60","60","6383","43430","19856606","6443","43490","19906479","4.3","3.33","5.54","4.27","150.21","2.09","1.83","14.0761","4.15","2.37","1","1","1","1","1","1","4.30 (3.33, 5.54)"
"Dermatitis allergic","Iohexol","Dermatitis allergic","过敏性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","16","16","6427","11554","19888482","6443","11570","19906479","4.29","2.62","7","4.28","40.14","2.1","1.59","3.7448","3.89","2","1","1","1","1","1","1","4.29 (2.62, 7.00)"
"WHEEZING","Iohexol","WHEEZING","哮鸣","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","74","74","6369","54162","19845874","6443","54236","19906479","4.26","3.38","5.35","4.22","182.06","2.08","1.84","17.5542","4.13","2.37","1","1","1","1","1","1","4.26 (3.38, 5.35)"
"Hypersensitivity","Iohexol","Hypersensitivity","超敏反应","Immune system disorders","免疫系统疾病","228","228","6215","174096","19725940","6443","174324","19906479","4.16","3.64","4.74","4.04","526.54","2.01","1.88","56.4223","4.01","2.36","1","1","1","1","1","1","4.16 (3.64, 4.74)"
"Loss of consciousness","Iohexol","Loss of consciousness","意识丧失","Nervous system disorders","各类神经系统疾病","158","158","6285","122237","19777799","6443","122395","19906479","4.07","3.47","4.76","3.99","356.09","2","1.83","39.6148","3.95","2.31","1","1","1","1","1","1","4.07 (3.47, 4.76)"
"Feeling hot","Iohexol","Feeling hot","感觉热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","75","75","6368","58805","19841231","6443","58880","19906479","3.97","3.16","4.99","3.94","164.76","1.98","1.74","19.0573","3.86","2.22","1","1","1","1","1","1","3.97 (3.16, 4.99)"
"FLUSHING","Iohexol","FLUSHING","潮红","Vascular disorders","血管与淋巴管类疾病","119","119","6324","98088","19801948","6443","98207","19906479","3.8","3.17","4.55","3.75","240.56","1.9","1.72","31.786","3.7","2.15","1","1","1","1","1","1","3.80 (3.17, 4.55)"
"Cardiac arrest","Iohexol","Cardiac arrest","心脏停搏","Cardiac disorders","心脏器官疾病","96","96","6347","79468","19820568","6443","79564","19906479","3.77","3.08","4.62","3.73","192.46","1.9","1.69","25.752","3.68","2.13","1","1","1","1","1","1","3.77 (3.08, 4.62)"
"Aphasia","Iohexol","Aphasia","失语","Nervous system disorders","各类神经系统疾病","35","35","6408","28862","19871174","6443","28897","19906479","3.76","2.7","5.24","3.75","70.45","1.9","1.56","9.3529","3.6","2","1","1","1","1","1","1","3.76 (2.70, 5.24)"
"Depressed level of consciousness","Iohexol","Depressed level of consciousness","意识水平下降","Nervous system disorders","各类神经系统疾病","45","45","6398","37363","19862673","6443","37408","19906479","3.74","2.79","5.01","3.72","89.56","1.89","1.59","12.1076","3.61","2.03","1","1","1","1","1","1","3.74 (2.79, 5.01)"
"Hypotension","Iohexol","Hypotension","低血压","Vascular disorders","血管与淋巴管类疾病","224","224","6219","190178","19709858","6443","190402","19906479","3.73","3.27","4.27","3.64","432.1","1.86","1.73","61.6262","3.61","2.12","1","1","1","1","1","1","3.73 (3.27, 4.27)"
"Tachycardia","Iohexol","Tachycardia","心动过速","Cardiac disorders","心脏器官疾病","97","97","6346","84494","19815542","6443","84591","19906479","3.58","2.93","4.38","3.55","177.85","1.82","1.62","27.379","3.5","2.03","1","1","1","1","1","1","3.58 (2.93, 4.38)"
"Contrast encephalopathy","Iopamidol","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","40","40","2757","190","19903492","2797","230","19906479","1519.84","1078.53","2141.73","1498.12","49437.69","10.27","9.92","0.0323","76.08","42.53","1","1","1","1","1","1","1,519.84 (1,078.53, 2,141.73)"
"CONTRAST MEDIA REACTION","Iopamidol","CONTRAST MEDIA REACTION","造影剂反应","Immune system disorders","免疫系统疾病","154","154","2643","2104","19901578","2797","2258","19906479","551.14","465.91","651.97","520.85","74462.65","8.92","8.75","0.3173","189.05","110.52","1","1","1","1","1","1","551.14 (465.91, 651.97)"
"Hepatic artery stenosis","Iopamidol","Hepatic artery stenosis","肝动脉狭窄","Hepatobiliary disorders","肝胆系统疾病","7","7","2790","121","19903561","2797","128","19906479","412.7","192.46","884.99","411.67","2710.92","8.6","7.83","0.018","14.48","6.44","1","1","1","1","1","1","412.70 (192.46, 884.99)"
"Contrast media allergy","Iopamidol","Contrast media allergy","造影剂过敏","Immune system disorders","免疫系统疾病","45","45","2752","1544","19902138","2797","1589","19906479","210.77","156.34","284.16","207.4","8982.12","7.66","7.35","0.2233","62.91","35.4","1","1","1","1","1","1","210.77 (156.34, 284.16)"
"Anaphylactoid reaction","Iopamidol","Anaphylactoid reaction","类过敏反应","Immune system disorders","免疫系统疾病","76","76","2721","3887","19899795","2797","3963","19906479","142.99","113.6","179.99","139.14","10225.05","7.09","6.86","0.5568","72.39","41.62","1","1","1","1","1","1","142.99 (113.60, 179.99)"
"Meningitis chemical","Iopamidol","Meningitis chemical","化学性脑膜炎","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","4","4","2793","209","19903473","2797","213","19906479","136.39","50.68","367.06","136.19","526.73","7.06","6.05","0.0299","8.49","3.21","1","1","1","1","1","1","136.39 (50.68, 367.06)"
"Agonal respiration","Iopamidol","Agonal respiration","濒死期呼吸","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","4","4","2793","230","19903452","2797","234","19906479","123.93","46.09","333.26","123.76","478.74","6.93","5.92","0.0329","8.44","3.19","1","1","1","1","1","1","123.93 (46.09, 333.26)"
"Extravasation","Iopamidol","Extravasation","外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","61","61","2736","3905","19899777","2797","3966","19906479","113.62","87.98","146.72","111.16","6558.21","6.77","6.51","0.5573","58.17","33.19","1","1","1","1","1","1","113.62 (87.98, 146.72)"
"Sialoadenitis","Iopamidol","Sialoadenitis","涎腺炎","Infections and infestations","感染及侵染类疾病","15","15","2782","1251","19902431","2797","1266","19906479","85.78","51.49","142.91","85.32","1235.31","6.4","5.88","0.1779","22.87","11.68","1","1","1","1","1","1","85.78 (51.49, 142.91)"
"Anaphylactoid shock","Iopamidol","Anaphylactoid shock","类过敏性休克","Immune system disorders","免疫系统疾病","5","5","2792","456","19903226","2797","461","19906479","78.17","32.35","188.85","78.03","376.09","6.27","5.37","0.0648","9.74","3.96","1","1","1","1","1","1","78.17 (32.35, 188.85)"
"Documented hypersensitivity to administered product","Iopamidol","Documented hypersensitivity to administered product","（患者）对所给产品有记录在案的超敏性","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","7","7","2790","776","19902906","2797","783","19906479","64.35","30.55","135.56","64.19","431.57","5.99","5.23","0.11","12.29","5.47","1","1","1","1","1","1","64.35 (30.55, 135.56)"
"BLOOD PRESSURE IMMEASURABLE","Iopamidol","BLOOD PRESSURE IMMEASURABLE","血压不可测","Investigations","各类检查","13","13","2784","1467","19902215","2797","1480","19906479","63.35","36.65","109.5","63.06","787.07","5.97","5.41","0.208","19.07","9.55","1","1","1","1","1","1","63.35 (36.65, 109.50)"
"Blindness cortical","Iopamidol","Blindness cortical","皮质盲","Eye disorders","眼器官疾病","4","4","2793","463","19903219","2797","467","19906479","61.56","22.99","164.85","61.48","235.94","5.93","4.92","0.0656","7.96","3.01","1","1","1","1","1","1","61.56 (22.99, 164.85)"
"Product deposit","Iopamidol","Product deposit","产品沉积","Product issues","产品问题","12","12","2785","1424","19902258","2797","1436","19906479","60.22","34.08","106.42","59.97","690.04","5.89","5.31","0.2018","17.81","8.81","1","1","1","1","1","1","60.22 (34.08, 106.42)"
"Transient tachypnoea of the newborn","Iopamidol","Transient tachypnoea of the newborn","新生儿短暂性呼吸过速","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","3","3","2794","374","19903308","2797","377","19906479","57.14","18.33","178.09","57.08","163.98","5.82","4.66","0.053","6.33","2.14","1","1","1","1","1","1","57.14 (18.33, 178.09)"
"Kounis syndrome","Iopamidol","Kounis syndrome","过敏性冠状动脉痉挛综合征","Cardiac disorders","心脏器官疾病","16","16","2781","2042","19901640","2797","2058","19906479","56.07","34.24","91.83","55.76","853.81","5.79","5.29","0.2892","20.91","10.77","1","1","1","1","1","1","56.07 (34.24, 91.83)"
"ANAPHYLACTIC SHOCK","Iopamidol","ANAPHYLACTIC SHOCK","过敏性休克","Immune system disorders","免疫系统疾病","168","168","2629","23939","19879743","2797","24107","19906479","53.07","45.38","62.06","49.94","8010.75","5.63","5.47","3.3872","43.35","25.38","1","1","1","1","1","1","53.07 (45.38, 62.06)"
"Electrocardiogram ST segment elevation","Iopamidol","Electrocardiogram ST segment elevation","心电图ST段抬高","Investigations","各类检查","23","23","2774","3193","19900489","2797","3216","19906479","51.68","34.23","78.01","51.26","1125.48","5.67","5.25","0.4519","24.69","13.24","1","1","1","1","1","1","51.68 (34.23, 78.01)"
"Administration site extravasation","Iopamidol","Administration site extravasation","给药部位外渗","General disorders and administration site conditions","全身性疾病及给药部位各种反应","6","6","2791","894","19902788","2797","900","19906479","47.86","21.43","106.91","47.76","272.86","5.57","4.75","0.1265","10.38","4.44","1","1","1","1","1","1","47.86 (21.43, 106.91)"
"Air embolism","Iopamidol","Air embolism","空气栓塞","Vascular disorders","血管与淋巴管类疾病","3","3","2794","452","19903230","2797","455","19906479","47.28","15.18","147.24","47.23","134.86","5.55","4.39","0.0639","6.21","2.1","1","1","1","1","1","1","47.28 (15.18, 147.24)"
"FOAMING AT MOUTH","Iopamidol","FOAMING AT MOUTH","口吐白沫","General disorders and administration site conditions","全身性疾病及给药部位各种反应","12","12","2785","1921","19901761","2797","1933","19906479","44.64","25.28","78.84","44.45","506.58","5.47","4.89","0.2716","16.2","8.01","1","1","1","1","1","1","44.64 (25.28, 78.84)"
"PULSE ABSENT","Iopamidol","PULSE ABSENT","脉搏消失","Investigations","各类检查","27","27","2770","4595","19899087","2797","4622","19906479","42.21","28.86","61.73","41.81","1069.58","5.38","4.99","0.6494","23.93","13.01","1","1","1","1","1","1","42.21 (28.86, 61.73)"
"COMPARTMENT SYNDROME","Iopamidol","COMPARTMENT SYNDROME","骨筋膜室综合征","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","13","13","2784","2502","19901180","2797","2515","19906479","37.14","21.51","64.14","36.97","452.72","5.2","4.64","0.3534","15.82","7.92","1","1","1","1","1","1","37.14 (21.51, 64.14)"
"MENINGITIS BACTERIAL","Iopamidol","MENINGITIS BACTERIAL","细菌性脑膜炎","Infections and infestations","感染及侵染类疾病","7","7","2790","1350","19902332","2797","1357","19906479","36.99","17.58","77.81","36.9","243.23","5.2","4.44","0.1907","10.86","4.83","1","1","1","1","1","1","36.99 (17.58, 77.81)"
"HYPOXIC-ISCHAEMIC ENCEPHALOPATHY","Iopamidol","HYPOXIC-ISCHAEMIC ENCEPHALOPATHY","缺氧缺血性脑病","Nervous system disorders","各类神经系统疾病","12","12","2785","2477","19901205","2797","2489","19906479","34.62","19.61","61.12","34.47","388.21","5.1","4.52","0.3497","14.71","7.27","1","1","1","1","1","1","34.62 (19.61, 61.12)"
"Nephropathy toxic","Iopamidol","Nephropathy toxic","中毒性肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","48","48","2749","10356","19893326","2797","10404","19906479","33.54","25.2","44.65","32.98","1482.55","5.04","4.75","1.4618","24.72","13.96","1","1","1","1","1","1","33.54 (25.20, 44.65)"
"Injection related reaction","Iopamidol","Injection related reaction","注射相关反应","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","6","6","2791","1440","19902242","2797","1446","19906479","29.71","13.31","66.3","29.65","165.43","4.88","4.07","0.2032","9.24","3.95","1","1","1","1","1","1","29.71 (13.31, 66.30)"
"POOR QUALITY DRUG ADMINISTERED","Iopamidol","POOR QUALITY DRUG ADMINISTERED",,,,"25","25","2772","6415","19897267","2797","6440","19906479","27.97","18.85","41.5","27.73","641.91","4.79","4.39","0.9049","18.15","9.81","1","1","1","1","1","1","27.97 (18.85, 41.50)"
